Name,Population,Violent,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Motor
Rochester,210347,1765,27,190,698,850,8856,2125,6058,673
Des Moines,208250,1250,9,87,267,887,8841,1888,6083,870
Santa Clarita,206930,307,1,15,92,199,2437,613,1581,243
Columbus,206714,1101,22,47,511,521,13378,3711,8495,1172
Modesto,205820,1778,11,81,385,1301,9113,1754,6164,1195
Fayetteville,205306,1039,19,72,470,478,10524,2510,7427,587
Tacoma,204722,1625,12,134,510,969,12721,3127,7521,2073
Fontana,204532,710,2,39,173,496,3710,686,2191,833
Oxnard,204159,884,11,45,447,381,6382,1172,4475,735
Moreno Valley,202911,584,11,20,257,296,6410,1638,3742,1030
Yonkers,200624,974,3,33,358,580,2009,414,1395,200
Aurora,200419,558,8,43,108,399,2982,509,2356,117
Montgomery,200194,1046,35,35,450,526,9025,2548,5817,660
Shreveport,200184,1444,20,121,400,903,9204,2087,6623,494
Huntington Beach,199152,391,1,45,100,245,4238,643,3295,300
Little Rock,198217,2759,43,138,729,1849,14253,3068,10320,865
Akron,197891,1358,26,171,435,726,9061,2871,5611,579
Amarillo,197724,1344,7,228,283,826,9343,1834,6659,850
Glendale,197079,186,0,9,67,110,3073,511,2294,268
Salt Lake City,192368,1447,7,219,450,771,16228,1726,12717,1785
Huntsville,187624,1467,15,104,390,958,9161,1912,6521,728
Tallahassee,187573,1758,14,198,307,1239,9080,2316,6099,665
Grand Prairie,185273,482,4,74,163,241,4635,913,3124,598
Knoxville,184362,1612,12,135,413,1052,12028,1976,9216,836
Brownsville,183433,558,5,103,138,312,7505,1068,6258,179
Worcester,183248,1762,6,7,402,1347,5604,1414,3824,366
Overland Park,183108,327,6,127,29,165,3033,384,2130,519
Newport News,182374,783,25,72,232,454,5533,918,4290,325
Providence,178640,927,18,90,289,530,6827,1666,4366,795
Garden Grove,176106,406,5,17,124,260,3098,646,1976,476
Chattanooga,174449,1699,27,106,348,1218,10968,2089,7862,1017
Oceanside,174102,652,5,52,186,409,3984,615,3007,362
Fort Lauderdale,174056,1345,18,78,618,631,8933,1942,6317,674
Santa Rosa,172991,636,2,70,130,434,3850,598,2873,379
Rancho Cucamonga,172694,283,4,17,99,163,3668,1348,1908,412
Port St. Lucie,172453,243,6,16,37,184,2498,511,1896,91
Jackson,172376,1593,61,117,801,614,10382,2952,6303,1127
Tempe,169812,799,5,103,193,498,8044,1177,6406,461
Cape Coral,168712,242,4,11,41,186,3271,679,2440,152
Vancouver,168688,577,6,89,151,331,5259,821,3617,821
Ontario,168278,431,6,20,163,242,4654,780,2987,887
Sioux Falls,167339,740,4,149,88,499,4938,846,3777,315
Springfield,165280,1961,16,265,390,1290,12638,1814,9509,1315
Peoria,164722,244,2,36,60,146,3299,607,2510,182
Pembroke Pines,164372,277,4,24,97,152,3775,569,3023,183
Elk Grove,162957,622,2,32,124,464,3072,626,2237,209
Salem,162028,505,2,44,103,356,7031,828,5562,641
Corona,161128,171,0,25,68,78,3440,541,2389,510
Lancaster,160190,891,4,54,249,584,3661,1140,2057,464
Palmdale,158210,840,9,38,230,563,3219,875,2010,334
Salinas,156908,997,15,32,449,501,5227,1281,2330,1616
Cary,154978,98,3,6,33,56,1711,325,1331,55
Fort Collins,154015,329,1,41,36,251,3782,489,3142,151
Springfield,153766,1662,13,94,583,972,5903,1793,3478,632
Pasadena,153540,591,7,93,154,337,4630,788,3322,520
Hayward,153319,605,9,53,329,214,4873,985,2444,1444
McKinney,152806,226,3,43,60,120,2828,398,2281,149
Pomona,151899,777,18,44,241,474,4403,677,2686,1040
Alexandria,151065,276,4,22,142,108,2960,259,2438,263
